rank,file,name,declaration_line,proof_line,end_line,proof_lines,have,let,cases,normalization,gcongr,debt
1,Examples/PRFTagReader/DirectCoupling/TagSlotPositive.lean,dcAux_tag_slotPositive,59,144,976,774,58,103,2,55,1,False
2,Examples/PRFTagReader/DirectCoupling/TagSlotZero.lean,dcAux_tag_slotZero,56,141,868,696,47,87,3,51,0,False
3,Examples/PRFTagReader/DirectCoupling/ReaderCase.lean,dcAux_reader_step,56,139,867,664,42,51,4,74,3,False
4,Examples/BR93.lean,badEventProb_le_tdpAdvantage,465,467,827,352,16,79,1,26,0,False
5,Examples/PRFTagReader/DirectCoupling/Compose.lean,multipleIdeal_le_singleIdeal_add_bad_DC,357,375,687,262,20,21,0,25,0,False
6,Examples/PRFTagReader/Collision/ForgeStep.lean,probEvent_authRFQueryImpl_step_core,399,411,667,249,18,3,9,48,0,False
7,Examples/PRFTagReader/MultipleToHybrid/EagerSetup.lean,evalSPMF_simulateQ_multipleBadQueryImpl_run_eq_tableExtending,506,519,752,228,9,0,2,39,0,False
8,VCVio/CryptoFoundations/MerkleTree/MultiExtractability/OnlineBound.lean,probEvent_onlineAdaptivePrefixRunFrom_logged_le,90,156,364,209,22,2,6,26,0,False
9,Examples/PRFTagReader/Collision.lean,simulateQ_authRF_forge_le,242,254,458,194,40,0,9,20,0,False
10,VCVio/CryptoFoundations/KEMDEM.lean,ind_cpa_one_time_bias_advantage_compose_with_dem_le,143,163,356,194,14,58,4,54,0,False
11,VCVio/CryptoFoundations/FiatShamir/Sigma/Stateful/Chain.lean,forkLoggedImpl_preserves_inv_step,790,797,971,175,44,1,17,17,0,False
12,VCVio/OracleComp/QueryTracking/AdaptivePrefix.lean,probEvent_adaptivePrefixRunFrom_le,140,175,342,168,20,1,6,25,1,False
13,VCVio/CryptoFoundations/Fischlin/KnowledgeSoundness.lean,main_induction_gen,1453,1473,1629,155,15,0,6,29,6,False
14,VCVio/CryptoFoundations/MerkleTree/ExtractionKernel.lean,fresh_extractedTarget_of_extractor_disagreement,255,273,427,155,17,2,4,28,0,False
15,Examples/PRFTagReader/Table.lean,evalSPMF_simulateQ_multipleIdealQueryImpl_run'_eq_tableExtending,520,527,683,151,8,0,2,36,0,False
16,Examples/PRFTagReader/Collision/ForgeStep.lean,probEvent_authRFQueryImpl_responses_eq_le,674,684,836,148,16,0,10,32,0,False
17,Examples/PRFTagReader/Table.lean,evalSPMF_simulateQ_singleIdealQueryImpl_run'_eq_tableExtending,782,789,934,146,8,0,2,36,0,False
18,Examples/CommitmentScheme/Hiding/LoggingBounds/QuerySalt.lean,wp_querySaltIndicator_cached_logging_cacheQuery_eq_of_no_other_salt_entries,644,661,801,141,14,0,2,29,0,False
19,VCVio/OracleComp/QueryTracking/Unpredictability.lean,probEvent_cache_has_value_le_of_unique_preimage,89,107,247,141,10,1,9,31,1,False
20,Examples/ElGamal/Basic.lean,IND_CPA_OneTime_DDHReduction_rand_half,156,160,297,138,5,49,1,15,0,False
21,Examples/PRFTagReader/DirectCoupling/Swap.lean,singleTableHandler_simulateQ_swap_invariant,177,191,352,137,13,0,10,23,0,False
22,Examples/CommitmentScheme/Hiding/LoggingBounds/QuerySalt.lean,sum_probEvent_hidingBad_le,968,971,1106,136,5,0,2,10,0,False
23,LatticeCrypto/MLKEM/Concrete/Encoding.lean,byteDecode_byteEncode_of_bound,303,305,438,134,33,6,0,35,0,False
24,Examples/PRFTagReader/Collision/ForgeStep.lean,authRFLookup_mapM_miss_bound,243,260,390,130,13,1,6,24,0,False
25,VCVio/CryptoFoundations/FiatShamir/Sigma/Stateful/Chain.lean,nma_runProb_shiftLeft_signedFreshAdv_eq_forkH5Body,2003,2014,2143,130,6,2,1,21,0,False
26,Examples/PRFTagReader/MultipleBadCollision.lean,simulateQ_multipleBad_prob_le,284,299,429,127,12,0,3,16,1,False
27,VCVio/CryptoFoundations/FiatShamir/Sigma/Fork.lean,inner_prefix_det,771,788,911,124,17,0,8,30,0,False
28,VCVio/CryptoFoundations/MerkleTree/Inductive/Batch/Disagreement.lean,exists_batchToSingleProofAddressed_map_some_ne_generateProof,328,336,456,121,7,0,7,21,0,False
29,LatticeCrypto/MLKEM/Concrete/Encoding.lean,byteDecode12Poly_byteEncode12Poly,569,570,688,119,30,11,1,19,0,False
30,VCVio/CryptoFoundations/FiatShamir/Sigma/Stateful/Chain.lean,forkLoggedImpl_preserves_live_adv_inv_step,993,1000,1117,118,27,2,14,17,0,False
31,VCVio/CryptoFoundations/Fischlin/Completeness.lean,sign_verify_run_eq,983,1010,1140,118,11,0,6,21,0,False
32,VCVio/OracleComp/QueryTracking/SeededOracle.lean,tsum_probOutput_generateSeed_weight_takeAtIndex,758,771,888,118,11,1,5,37,0,False
33,VCVio/ProgramLogic/Relational/Quantitative.lean,tsum_min_le_eRelWP,952,955,1072,118,21,4,2,45,0,False
34,Examples/CommitmentScheme/Hiding/LoggingBounds/QuerySalt.lean,sum_wp_freshDistinguishIncrement_le_queryResidual_of_choose_support,835,850,966,117,5,3,2,14,0,False
35,Examples/PRFTagReader/DirectCoupling/Compose.lean,multipleBadEager_le_singleEager_DC_aux,152,190,330,117,10,10,3,13,1,False
36,VCVio/CryptoFoundations/FiatShamir/Sigma/Fork.lean,inner_prefix_det_one_more_inr,919,937,1048,112,17,0,8,25,0,False
37,VCVio/ProgramLogic/Relational/Quantitative.lean,relTriple'_iff_couplingPost,435,437,548,112,15,19,5,24,0,False
38,VCVio/CryptoFoundations/MerkleTree/Addressed/Basic.lean,findCollisionAddressed_oriented,335,348,457,110,4,0,3,20,0,False
39,VCVio/OracleComp/QueryTracking/SeededOracle.lean,evalSPMF_liftComp_generateSeed_bind_simulateQ_run'_takeAtIndex,561,571,678,108,12,1,7,28,0,False
